GEOID,date,hour_range,risk_score,risk_level,risk_decile
06075021200,2025-10-25,21-24,0.38591446443173333,medium,5
06075061506,2025-10-25,00-03,2.352310652712177e-05,low,3
06075061506,2025-10-25,03-06,0.002256529762752144,low,4
06075061506,2025-10-25,06-09,2.352310652712177e-05,low,3
06075061506,2025-10-25,09-12,0.2952783428676968,medium,5
06075061506,2025-10-25,12-15,2.352310652712177e-05,low,3
06075061506,2025-10-25,15-18,2.352310652712177e-05,low,3
06075061506,2025-10-25,18-21,0.9993996480291504,medium,7
06075061506,2025-10-25,21-24,0.999552101822456,medium,7
06075061501,2025-10-25,00-03,0.9999701408797952,critical,10
06075061501,2025-10-25,03-06,0.9991534347326152,medium,7
06075061501,2025-10-25,06-09,0.999971883139551,critical,10
06075061501,2025-10-25,09-12,0.9999684911906462,high,9
06075061501,2025-10-25,12-15,0.9999690503354185,high,9
06075061501,2025-10-25,15-18,0.9999693253099395,high,9
06075061501,2025-10-25,18-21,0.9999690503354185,high,9
06075061501,2025-10-25,21-24,0.9993779564868973,medium,7
06075017603,2025-10-25,00-03,0.9999704766016388,critical,10
06075017603,2025-10-25,03-06,0.9999729449213013,critical,10
06075017603,2025-10-25,06-09,0.9999701408797952,critical,10
06075017603,2025-10-25,09-12,0.9999650529059579,high,9
06075017603,2025-10-25,12-15,0.9999683810885027,high,9
06075017603,2025-10-25,15-18,0.9999693253099395,high,9
06075017603,2025-10-25,18-21,0.9995395714203391,medium,7
06075017603,2025-10-25,21-24,0.9999684911906462,high,9
06075030900,2025-10-25,00-03,0.9994698291521205,medium,7
06075030900,2025-10-25,03-06,2.352310652712177e-05,low,3
06075030900,2025-10-25,06-09,0.37378904446115857,medium,5
06075030900,2025-10-25,09-12,0.9999726865507111,critical,10
06075030900,2025-10-25,12-15,0.9999701408797952,critical,10
06075030900,2025-10-25,15-18,0.9999698431878294,critical,10
06075030900,2025-10-25,18-21,0.9263250931008239,medium,6
06075030900,2025-10-25,21-24,2.352310652712177e-05,low,3
06075980300,2025-10-25,00-03,0.7036357810983803,medium,6
06075980300,2025-10-25,03-06,0.5466444780970915,medium,6
06075980300,2025-10-25,06-09,0.30617516754620133,medium,5
06075980300,2025-10-25,09-12,0.9999701408797952,critical,10
06075980300,2025-10-25,12-15,0.999972215039,critical,10
06075980300,2025-10-25,15-18,0.9999704766016388,critical,10
06075980300,2025-10-25,18-21,0.999972215039,critical,10
06075980300,2025-10-25,21-24,0.4251481848235844,medium,5
06075020101,2025-10-25,00-03,0.9995174685590905,medium,7
06075020101,2025-10-25,03-06,0.9999412844749059,high,9
06075020101,2025-10-25,06-09,0.9999705214285581,critical,10
06075020101,2025-10-25,09-12,0.9999701408797952,critical,10
06075020101,2025-10-25,12-15,0.8768094628725972,medium,6
06075020101,2025-10-25,15-18,0.9997015222940927,medium,8
06075020101,2025-10-25,18-21,0.999972215039,critical,10
06075020101,2025-10-25,21-24,0.9996545675178955,medium,8
06075980900,2025-10-25,00-03,0.9999701408797952,critical,10
06075980900,2025-10-25,03-06,0.9999739114133418,critical,10
06075980900,2025-10-25,06-09,0.9999729561752739,critical,10
06075980900,2025-10-25,09-12,0.9999684911906462,high,9
06075980900,2025-10-25,12-15,0.9999693253099395,high,9
06075980900,2025-10-25,15-18,0.9999693253099395,high,9
06075980900,2025-10-25,18-21,0.9999690503354185,high,9
06075980900,2025-10-25,21-24,0.999972215039,critical,10
06075025401,2025-10-25,00-03,0.9997910011282682,medium,8
06075025401,2025-10-25,03-06,0.4006448808947337,medium,5
06075025401,2025-10-25,06-09,0.08811172268126659,low,4
06075025401,2025-10-25,09-12,0.9997582779577965,medium,8
06075025401,2025-10-25,12-15,1.681853734675974e-05,low,1
06075025401,2025-10-25,15-18,0.9997677920110792,medium,8
06075025401,2025-10-25,18-21,0.9998668561807845,medium,8
06075025401,2025-10-25,21-24,0.9997702992700089,medium,8
06075015702,2025-10-25,00-03,1.681853734675974e-05,low,1
06075015702,2025-10-25,03-06,0.29289959526009424,medium,5
06075015702,2025-10-25,06-09,1.681853734675974e-05,low,1
06075015702,2025-10-25,09-12,1.681853734675974e-05,low,1
06075015702,2025-10-25,12-15,0.999650332332826,medium,8
06075015702,2025-10-25,15-18,0.6848441412459673,medium,6
06075015702,2025-10-25,18-21,1.681853734675974e-05,low,1
06075015702,2025-10-25,21-24,1.681853734675974e-05,low,1
06075060703,2025-10-25,00-03,0.9999643350258299,high,9
06075060703,2025-10-25,03-06,0.12675780412243007,low,4
06075060703,2025-10-25,06-09,0.5427051890712774,medium,6
06075060703,2025-10-25,09-12,0.9999620661942028,high,9
06075060703,2025-10-25,12-15,0.33761676167758436,medium,5
06075060703,2025-10-25,15-18,0.9999602613557134,high,9
06075060703,2025-10-25,18-21,0.999960277885399,high,9
06075060703,2025-10-25,21-24,0.9993824897884538,medium,7
06075020300,2025-10-25,00-03,0.9999705214285581,critical,10
06075020300,2025-10-25,03-06,0.9995768250774871,medium,8
06075020300,2025-10-25,06-09,0.9995648860810217,medium,7
06075020300,2025-10-25,09-12,0.775830827879985,medium,6
06075020300,2025-10-25,12-15,0.9996992804886063,medium,8
06075020300,2025-10-25,15-18,0.9996901264305214,medium,8
06075020300,2025-10-25,18-21,0.9999704766016388,critical,10
06075020300,2025-10-25,21-24,0.7434354295499267,medium,6
06075012502,2025-10-25,00-03,0.9999701408797952,critical,10
06075012502,2025-10-25,03-06,0.9999739114133418,critical,10
06075012502,2025-10-25,06-09,0.999971883139551,critical,10
06075012502,2025-10-25,09-12,0.9999684911906462,high,9
06075012502,2025-10-25,12-15,0.9999690503354185,high,9
06075012502,2025-10-25,15-18,0.9999693253099395,high,9
06075012502,2025-10-25,18-21,0.9999690503354185,high,9
06075012502,2025-10-25,21-24,0.999972215039,critical,10
06075012403,2025-10-25,00-03,0.9999701408797952,critical,10
06075012403,2025-10-25,03-06,0.9999739114133418,critical,10
06075012403,2025-10-25,06-09,0.36822439940806256,medium,5
06075012403,2025-10-25,09-12,0.9999684911906462,high,9
06075012403,2025-10-25,12-15,0.9999693253099395,high,9
06075012403,2025-10-25,15-18,0.9999650529059579,high,9
06075012403,2025-10-25,18-21,0.9999693253099395,high,9
06075012403,2025-10-25,21-24,0.9999704766016388,critical,10
06075023200,2025-10-25,00-03,0.9999701408797952,critical,10
06075023200,2025-10-25,03-06,0.7145327899233616,medium,6
06075023200,2025-10-25,06-09,0.9999729449213013,critical,10
06075023200,2025-10-25,09-12,0.9999704766016388,critical,10
06075023200,2025-10-25,12-15,0.9999650529059579,high,9
06075023200,2025-10-25,15-18,0.9999684911906462,high,9
06075023200,2025-10-25,18-21,0.9999693253099395,high,9
06075023200,2025-10-25,21-24,0.9999704766016388,critical,10
06075020500,2025-10-25,00-03,0.9995420879831455,medium,7
06075020500,2025-10-25,03-06,1.681853734675974e-05,low,1
06075020500,2025-10-25,06-09,0.34238777337914306,medium,5
