GEOID,date,hour_range,risk_score,risk_level,risk_decile,expected_count,top1_category,top1_prob,top1_expected,top2_category,top2_prob,top2_expected,top3_category,top3_prob,top3_expected
06075011002,,18-21,3.490777267151655e-05,low,3,0.012689075630252102,Assault,0.001795070205887206,0.0017966832750799435,Burglary,0.001542833296659829,0.0015440246895218265,Larceny Theft,0.0013746399482398308,0.0013755856324830819
06075011002,,21-24,3.490777267151655e-05,low,3,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075012203,,00-03,0.588767312514307,medium,6,0.2,Malicious Mischief,0.09516258196404048,0.1,Other Miscellaneous,0.09516258196404048,0.1,,0.0,0.0
06075012203,,03-06,0.9997637512012817,medium,8,0.5,Drug Offense,0.18126924692201818,0.2,Assault,0.09516258196404048,0.1,Larceny Theft,0.09516258196404048,0.1
06075012203,,06-09,0.9996989681207665,medium,8,0.30000000000000004,Warrant,0.18126924692201818,0.2,Drug Offense,0.09516258196404048,0.1,,0.0,0.0
06075012203,,09-12,0.999840653900666,medium,8,1.2501645341793362,Drug Offense,0.414790163013375,0.5357848003625726,Assault,0.2350099105304534,0.2678924001812863,Offences Against The Family And Children,0.16355535347143157,0.17859493345419086
06075012203,,12-15,0.9998067728870843,medium,8,0.1,Malicious Mischief,0.09516258196404048,0.1,,0.0,0.0,,0.0,0.0
06075012203,,15-18,0.9988145973782052,medium,7,0.4,Drug Offense,0.18126924692201818,0.2,Other,0.09516258196404048,0.1,Other Miscellaneous,0.09516258196404048,0.1
06075012203,,18-21,0.70848559304085,medium,6,0.4,Drug Offense,0.09516258196404048,0.1,Lost Property,0.09516258196404048,0.1,Non-Criminal,0.09516258196404048,0.1
06075012203,,21-24,0.004039096925740394,low,4,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075030800,,00-03,0.9998911959560108,high,9,0.6000000000000001,Burglary,0.2591817793182821,0.30000000000000004,Larceny Theft,0.09516258196404048,0.1,Motor Vehicle Theft,0.09516258196404048,0.1
06075030800,,03-06,0.9994818771115169,medium,7,0.4,Fraud,0.09516258196404048,0.1,Larceny Theft,0.09516258196404048,0.1,Miscellaneous Investigation,0.09516258196404048,0.1
06075030800,,06-09,0.9999013230184002,high,9,0.6000000000000001,Larceny Theft,0.18126924692201818,0.2,Burglary,0.09516258196404048,0.1,Other,0.09516258196404048,0.1
06075030800,,09-12,0.9990966425563356,medium,7,0.8,Burglary,0.18126924692201818,0.2,Larceny Theft,0.18126924692201818,0.2,Assault,0.09516258196404048,0.1
06075030800,,12-15,0.9269919120057073,medium,7,0.3457983193277311,Larceny Theft,0.08030682030858716,0.08371516489807602,Assault,0.04119534562586791,0.042067922059334684,Malicious Mischief,0.027792002075305078,0.028185507779754235
06075030800,,15-18,0.9999648639188297,critical,10,0.2987394957983193,Larceny Theft,0.05257679966899287,0.054009400370317616,Assault,0.03196789884989548,0.03249002991026919,Other Miscellaneous,0.0278746729180952,0.02827054550633813
06075030800,,18-21,1.7192586298315802e-05,low,1,0.020000000000000004,Assault,0.006644493744965563,0.006666666666666668,Offences Against The Family And Children,0.006644493744965563,0.006666666666666668,Other Miscellaneous,0.006644493744965563,0.006666666666666668
06075030800,,21-24,0.36620070282430844,medium,5,0.0,all,0.0,0.0,,0.0,0.0,,0.0,0.0
06075015801,,00-03,1.7192586298315802e-05,low,1,0.013333333333333334,Malicious Mischief,0.006644493744965563,0.006666666666666667,Other Miscellaneous,0.006644493744965563,0.006666666666666667,,0.0,0.0
06075015801,,03-06,0.20069935293040034,low,4,0.21437655410593118,Missing Person,0.10164348285083769,0.10718827705296559,Non-Criminal,0.10164348285083769,0.10718827705296559,,0.0,0.0
06075015801,,06-09,1.7192586298315802e-05,low,1,0.03333333333333333,Larceny Theft,0.013244838192804309,0.013333333333333334,Non-Criminal,0.006644493744965563,0.006666666666666667,Other Miscellaneous,0.006644493744965563,0.006666666666666667
06075015801,,09-12,1.7192586298315802e-05,low,1,0.013333333333333334,Other,0.006644493744965563,0.006666666666666667,Suspicious Occ,0.006644493744965563,0.006666666666666667,,0.0,0.0
06075015801,,12-15,0.999958958786959,high,9,0.30000000000000004,Assault,0.09516258196404048,0.1,Missing Person,0.09516258196404048,0.1,Suspicious Occ,0.09516258196404048,0.1
06075015801,,15-18,0.9999648606522151,critical,10,0.30000000000000004,Assault,0.18126924692201818,0.2,Larceny Theft,0.09516258196404048,0.1,,0.0,0.0
